lon,lat,state
-152.59613947486034,59.29725417411546,alaska
-120.0391984516129,36.59361466666667,california
-106.1653980625,38.97298825,colorado
-77.02759619999999,38.92157339999999,district of columbia
-71.2286115142857,42.10242388571429,massachusetts
